ResourceName,AvailableCards
enemy_basic1_brain,page_of_daggers;king_of_daggers;queen_of_daggers;knight_of_daggers;the_hierophant;the_empress;the_hermit
enemy_basic2_brain,page_of_thorns;king_of_thorns;queen_of_thorns;the_hierophant;the_empress;the_hermit
enemy_basic3_brain,page_of_herbs;king_of_herbs;queen_of_herbs;the_hierophant;the_empress;the_hermit
enemy_basic4_brain,page_of_flags;king_of_flags;knight_of_flags;the_hierophant;the_empress;the_hermit
enemy_basic5_brain,page_of_daggers;king_of_daggers;queen_of_daggers;knight_of_daggers;the_empress;the_hermit;the_magician;the_high_priestess;the_hierophant
enemy_basic6_brain,page_of_thorns;king_of_thorns;queen_of_thorns;the_empress;the_hermit;the_magician;the_high_priestess;the_hierophant
enemy_basic7_brain,page_of_herbs;king_of_herbs;queen_of_herbs;knight_of_herbs;the_empress;the_hermit;the_magician;the_high_priestess;the_hierophant
enemy_basic8_brain,page_of_flags;king_of_flags;the_empress;the_hermit;the_magician;the_high_priestess;the_hierophant
enemy_basic9_brain,page_of_daggers;king_of_daggers;queen_of_daggers;knight_of_daggers;the_emperor;the_hermit;justice;the_hierophant
enemy_basic10_brain,page_of_thorns;king_of_thorns;queen_of_thorns;the_emperor;the_hermit;justice;the_hierophant
enemy_basic11_brain,page_of_herbs;king_of_herbs;queen_of_herbs;knight_of_herbs;the_emperor;the_hermit;justice;the_hierophant
enemy_basic12_brain,page_of_flags;king_of_flags;the_emperor;the_hermit;justice;the_hierophant
enemy_basic13_brain,page_of_daggers;page_of_thorns;page_of_herbs;page_of_flags;the_magician;the_high_priestess;the_lovers;the_star;the_moon;the_sun;the_hierophant;the_empress;the_hermit
enemy_basic14_brain,king_of_daggers;king_of_thorns;king_of_herbs;king_of_flags;the_magician;the_high_priestess;the_lovers;the_star;the_moon;the_sun;the_hierophant;the_empress;the_hermit
enemy_basic15_brain,queen_of_daggers;queen_of_thorns;queen_of_herbs;the_magician;the_high_priestess;the_lovers;the_star;the_moon;the_sun;the_hierophant;the_empress;the_hermit
enemy_basic16_brain,knight_of_daggers;queen_of_daggers;the_magician;the_high_priestess;the_lovers;the_star;the_moon;the_sun;the_hierophant;the_empress;the_hermit
